param,rf_mse_cv_results,rf_adj_r2_cv_results,rf_mse_mean,rf_mse_95_ci_lower,rf_mse_95_ci_upper,rf_adj_r2_mean,rf_adj_r2_95_ci_lower,rf_adj_r2_95_ci_upper
"{'bootstrap': False, 'max_depth': 50, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 1000}","[10.647580645161291, 15.268548387096773, 12.10725806451613, 12.911290322580646, 11.989516129032259]","[0.426941176638738, 0.33566848247317016, 0.30985408039100004, 0.3701606780727744, 0.42146140425837175]",12.58483870967742,10.466324733042615,14.703352686312225,0.3728171643668109,0.30875674093925265,0.43687758779436914
"{'bootstrap': False, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 1000}","[10.647580645161291, 15.268548387096773, 12.10725806451613, 12.911290322580646, 11.989516129032259]","[0.426941176638738, 0.33566848247317016, 0.30985408039100004, 0.3701606780727744, 0.42146140425837175]",12.58483870967742,10.466324733042615,14.703352686312225,0.3728171643668109,0.30875674093925265,0.43687758779436914
"{'bootstrap': False, 'max_depth': 50, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 1000}","[10.694354838709678, 15.19758064516129, 12.14274193548387, 12.968548387096774, 11.960483870967742]","[0.42442376303918095, 0.33875627487492177, 0.3078314053451867, 0.3673675118106362, 0.4228623183262199]",12.59274193548387,10.521307429723624,14.664176441244116,0.37224825467922906,0.308392636974575,0.43610387238388315
"{'bootstrap': False, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 1000}","[10.70241935483871, 15.2, 12.148387096774194, 12.976612903225806, 11.962096774193549]","[0.4239897262116711, 0.3386510092248619, 0.3075096161333527, 0.36697410811174347, 0.42278448976689487]",12.597903225806451,10.52824055794601,14.667565893666893,0.37198178988970476,0.3081283246312984,0.4358352551481111
"{'bootstrap': False, 'max_depth': 50, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 500}","[10.693548387096774, 15.231451612903227, 12.110483870967743, 13.068548387096774, 11.933064516129033]","[0.42446716672193197, 0.3372825557740857, 0.30967020084138075, 0.3624893059443667, 0.4241854038347431]",12.607419354838711,10.505484757902881,14.709353951774542,0.3716189266233016,0.3075312841249609,0.4357065691216423
"{'bootstrap': False, 'max_depth': 50, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 500}","[10.693548387096774, 15.231451612903227, 12.110483870967743, 13.068548387096774, 11.933064516129033]","[0.42446716672193197, 0.3372825557740857, 0.30967020084138075, 0.3624893059443667, 0.4241854038347431]",12.607419354838711,10.505484757902881,14.709353951774542,0.3716189266233016,0.3075312841249609,0.4357065691216423
"{'bootstrap': False, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 500}","[10.693548387096774, 15.231451612903227, 12.110483870967743, 13.068548387096774, 11.94032258064516]","[0.42446716672193197, 0.3372825557740857, 0.30967020084138075, 0.3624893059443667, 0.42383517531778103]",12.608870967741936,10.507830204834113,14.70991173064976,0.37154888091990923,0.3075717607326305,0.435526001107188
"{'bootstrap': False, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 500}","[10.693548387096774, 15.231451612903227, 12.110483870967743, 13.068548387096774, 11.94032258064516]","[0.42446716672193197, 0.3372825557740857, 0.30967020084138075, 0.3624893059443667, 0.42383517531778103]",12.608870967741936,10.507830204834113,14.70991173064976,0.37154888091990923,0.3075717607326305,0.435526001107188
"{'bootstrap': False, 'max_depth': 50, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 100}","[10.73225806451613, 15.137903225806452, 12.024193548387096, 13.103225806451613, 12.108064516129032]","[0.42238378994988457, 0.3413528275763944, 0.3145889787936996, 0.3607976700391281, 0.4157410051479917]",12.621129032258064,10.585219336744078,14.65703872777205,0.3709728543014197,0.3127095212183062,0.4292361873845332
"{'bootstrap': False, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 100}","[10.73225806451613, 15.137903225806452, 12.024193548387096, 13.103225806451613, 12.108064516129032]","[0.42238378994988457, 0.3413528275763944, 0.3145889787936996, 0.3607976700391281, 0.4157410051479917]",12.621129032258064,10.585219336744078,14.65703872777205,0.3709728543014197,0.3127095212183062,0.4292361873845332
