param,xgb_mse_cv_results,xgb_adj_r2_cv_results,early_stopping_rounds,early_stopping_round_mean,xgb_mse_mean,xgb_mse_95_ci_lower,xgb_mse_95_ci_upper,xgb_adj_r2_mean,xgb_adj_r2_95_ci_lower,xgb_adj_r2_95_ci_upper
"{'colsample_bytree': 0.8, 'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 3, 'reg_lambda': 3, 'subsample': 1}","[11.063709677419356, 14.413709677419355, 12.398387096774194, 12.483064516129032, 12.07016129032258, 11.751612903225807, 10.504838709677419, 11.332258064516129, 16.530645161290323, 13.623387096774193, 10.504838709677419, 10.633870967741936, 16.16774193548387, 13.469354838709677, 11.670967741935485]","[0.40454487633922964, 0.3728623454942678, 0.2932589510378496, 0.39105041448397726, 0.4175699762921268, 0.40676976412625, 0.4126427159148416, 0.39657415843906996, 0.30719059579796293, 0.3189327691170343, 0.39716981086090375, 0.39752816329138785, 0.3511712443849261, 0.3839283270948287, 0.36706133714674927]","[114, 178, 117, 699, 389, 155, 314, 120, 129, 251, 79, 134, 199, 450, 450]",252.0,12.574569892473118,11.509431777002952,13.639708007943284,0.37455036332142705,0.3526133405738899,0.3964873860689642
"{'colsample_bytree': 0.8, 'gamma': 0.1, 'learning_rate': 0.01, 'max_depth': 3, 'reg_lambda': 1, 'subsample': 1}","[10.919354838709678, 14.262096774193548, 12.604032258064516, 12.386290322580646, 11.838709677419354, 12.308064516129033, 10.469354838709677, 11.308064516129033, 16.79193548387097, 13.624193548387098, 10.34274193548387, 10.548387096774194, 16.155645161290323, 13.369354838709677, 11.713709677419354]","[0.41231413555165597, 0.37945899289800955, 0.28153662974961313, 0.39577125887068987, 0.42873837455524966, 0.37867966923516516, 0.414626726393864, 0.3978624288096101, 0.29623975927920687, 0.3188924525817307, 0.40647188886005603, 0.4023713314008306, 0.35165670085610656, 0.388502203722792, 0.3647433611150175]","[1137, 2077, 1117, 2271, 1823, 1459, 2409, 1434, 1131, 2193, 1000, 1367, 1800, 3913, 2421]",1837.0,12.576129032258065,11.484066929143202,13.668191135372927,0.3745243942586399,0.3499836310157184,0.39906515750156146
"{'colsample_bytree': 0.8, 'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 3, 'reg_lambda': 3, 'subsample': 0.8}","[10.925806451612903, 14.140322580645162, 12.771774193548387, 12.166935483870967, 11.785483870967742, 11.87741935483871, 10.616129032258064, 11.489516129032259, 16.62016129032258, 13.474193548387097, 10.584677419354838, 10.82983870967742, 16.436290322580646, 13.55241935483871, 11.42983870967742]","[0.41196690608964803, 0.3847573639510149, 0.2719748931694045, 0.4064718394805714, 0.4313067170129713, 0.40041896006391764, 0.406420137594271, 0.3882004010305601, 0.3034389203239446, 0.32639132814819205, 0.3925881903538585, 0.3864254288518161, 0.3403941107247196, 0.3801290586054722, 0.3801382207974625]","[162, 472, 179, 212, 124, 236, 384, 98, 87, 168, 94, 157, 147, 185, 317]",201.0,12.580053763440862,11.504035832787505,13.65607169409422,0.37406816507985496,0.34965624944720775,0.3984800807125022
"{'colsample_bytree': 0.8, 'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 3, 'reg_lambda': 1, 'subsample': 1}","[10.730645161290322, 14.178225806451612, 12.416935483870967, 12.673387096774194, 12.057258064516128, 11.943548387096774, 10.668548387096774, 11.404838709677419, 16.604032258064517, 13.734677419354838, 10.294354838709678, 10.654838709677419, 16.32016129032258, 13.365322580645161, 11.685483870967742]","[0.4224705973153866, 0.38310820210007945, 0.2922016436275381, 0.3817660871901094, 0.41819260476672604, 0.3970807169029482, 0.4034892130229878, 0.39270934732745, 0.30411489788683077, 0.31336908724514356, 0.4092486285612956, 0.39634021639661887, 0.34505449284805223, 0.3886866342319839, 0.36627410000389693]","[100, 235, 94, 436, 246, 137, 164, 131, 91, 188, 102, 88, 152, 260, 164]",173.0,12.582150537634408,11.498733532450737,13.66556754281808,0.37427376462846984,0.35120089318779396,0.3973466360691457
"{'colsample_bytree': 0.8, 'gamma': 0, 'learning_rate': 0.1, 'max_depth': 3, 'reg_lambda': 1, 'subsample': 1}","[10.762096774193548, 14.178225806451612, 12.603225806451613, 12.237096774193548, 11.789516129032258, 11.943548387096774, 10.641935483870968, 11.404838709677419, 16.604032258064517, 13.810483870967742, 10.294354838709678, 10.473387096774193, 16.32016129032258, 13.964516129032258, 11.750806451612902]","[0.42077785368809817, 0.38310820210007945, 0.2815825996370178, 0.403049227300205, 0.43111214561465905, 0.3970807169029482, 0.40497722088225463, 0.39270934732745, 0.30411489788683077, 0.30957933292660933, 0.4092486285612956, 0.4066205260628889, 0.34505449284805223, 0.36128026056604323, 0.36273153286106175]","[98, 235, 110, 227, 208, 137, 165, 131, 91, 157, 102, 105, 152, 812, 198]",195.0,12.585215053763442,11.476604071510291,13.693826036016592,0.3742017990110329,0.3488992798561472,0.3995043181659186
"{'colsample_bytree': 0.8, 'gamma': 0, 'learning_rate': 0.01, 'max_depth': 6, 'reg_lambda': 1, 'subsample': 1}","[11.041129032258064, 13.663709677419355, 12.706451612903226, 12.456451612903226, 12.17983870967742, 11.951612903225806, 10.4, 11.792741935483871, 16.746774193548386, 13.474193548387097, 10.633870967741936, 10.936290322580644, 15.85725806451613, 13.220967741935484, 12.018548387096773]","[0.4057601794562571, 0.40549469701277774, 0.27569845404919724, 0.3923486466903232, 0.41227763425803376, 0.3966736140784397, 0.41850456505740785, 0.3720540790531257, 0.29813249645528817, 0.32639132814819205, 0.3897651716575983, 0.38039431384760436, 0.36363129381189163, 0.3952892464610599, 0.3482113811151192]","[441, 902, 536, 2028, 807, 871, 1316, 749, 509, 701, 387, 803, 482, 1530, 990]",870.0,12.60532258064516,11.605787573762209,13.60485758752811,0.37204180674348775,0.3484332010589675,0.39565041242800797
"{'colsample_bytree': 0.8, 'gamma': 0.1, 'learning_rate': 0.01, 'max_depth': 6, 'reg_lambda': 1, 'subsample': 1}","[10.865322580645161, 13.67016129032258, 12.80241935483871, 12.32016129032258, 12.253225806451614, 11.912096774193548, 10.468548387096774, 11.633064516129032, 16.84032258064516, 13.473387096774193, 10.78467741935484, 10.991935483870968, 15.759677419354839, 13.428225806451612, 11.921774193548387]","[0.4152221822959721, 0.4052139886126186, 0.27022803744802015, 0.39899716920161, 0.4087364348087509, 0.39866841791853125, 0.4146718175411145, 0.38055666349868955, 0.29421182659054834, 0.3264316446834956, 0.3811109995887353, 0.3772416855499482, 0.3675473093460808, 0.3858095182885878, 0.3534596287341346]","[363, 1011, 721, 1564, 750, 911, 1266, 678, 475, 830, 457, 792, 485, 1959, 948]",881.0,12.608333333333333,11.603450072738688,13.613216593927977,0.37187382160712257,0.3476423996046468,0.3961052436095983
"{'colsample_bytree': 1, 'gamma': 0.1, 'learning_rate': 0.01, 'max_depth': 6, 'reg_lambda': 1, 'subsample': 0.8}","[11.134677419354839, 14.067741935483872, 12.941129032258065, 12.265322580645162, 11.80241935483871, 11.871774193548386, 10.648387096774194, 11.740322580645161, 16.696774193548386, 13.290322580645162, 10.538709677419355, 10.894354838709678, 16.036290322580644, 13.525806451612903, 11.69516129032258]","[0.4007253522571429, 0.38791533345280615, 0.26232121681438614, 0.40167231435408046, 0.4304895171400598, 0.4007039320410737, 0.4046164917042506, 0.3748453315226289, 0.3002280269002353, 0.33558349819740263, 0.3952260930700361, 0.3827702076371423, 0.3564465380384205, 0.3813462999661398, 0.3657492752419955]","[425, 1068, 810, 2481, 601, 720, 805, 738, 460, 816, 349, 749, 456, 1664, 936]",872.0,12.609946236559141,11.582996524418718,13.636895948699564,0.37204262855585335,0.3478104119757988,0.3962748451359079
"{'colsample_bytree': 1, 'gamma': 0, 'learning_rate': 0.1, 'max_depth': 3, 'reg_lambda': 3, 'subsample': 0.8}","[10.935483870967742, 13.833064516129033, 12.45483870967742, 11.996774193548386, 12.496774193548386, 11.933870967741935, 10.379032258064516, 11.343548387096774, 16.811290322580646, 13.745161290322581, 10.380645161290323, 10.963709677419354, 16.675, 13.734677419354838, 11.52016129032258]","[0.41144606189663635, 0.39812610150859806, 0.29004105891951015, 0.4147726575272076, 0.39698432235069125, 0.3975692402923584, 0.4196769348859213, 0.3959729655994848, 0.29542858620374346, 0.31284497228619734, 0.4042967760940852, 0.37884084483136793, 0.33081443636009167, 0.3717927995899909, 0.37523985635304824]","[102, 278, 157, 289, 409, 240, 175, 125, 86, 173, 74, 211, 123, 207, 252]",193.0,12.613602150537636,11.492792872879797,13.734411428195475,0.3729231743132622,0.34857769128525606,0.39726865734126837
"{'colsample_bytree': 1, 'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 3, 'reg_lambda': 3, 'subsample': 0.8}","[10.935483870967742, 13.833064516129033, 12.45483870967742, 12.110483870967743, 12.496774193548386, 11.928225806451612, 10.379032258064516, 11.343548387096774, 16.815322580645162, 13.745161290322581, 10.380645161290323, 10.963709677419354, 16.675, 13.734677419354838, 11.52016129032258]","[0.41144606189663635, 0.39812610150859806, 0.29004105891951015, 0.40922566537282046, 0.39698432235069125, 0.39785421226951434, 0.4196769348859213, 0.3959729655994848, 0.29525959181302186, 0.31284497228619734, 0.4042967760940852, 0.37884084483136793, 0.33081443636009167, 0.3717927995899909, 0.37523985635304824]","[102, 278, 157, 289, 409, 240, 175, 125, 86, 173, 74, 201, 123, 207, 252]",193.0,12.621075268817206,11.501112686848,13.741037850786412,0.37256110667539866,0.34839403818053966,0.39672817517025766
"{'colsample_bytree': 0.8, 'gamma': 0, 'learning_rate': 0.1, 'max_depth': 3, 'reg_lambda': 1, 'subsample': 0.8}","[10.978225806451613, 14.286290322580646, 12.425806451612903, 12.300806451612903, 11.737096774193548, 12.346774193548388, 10.610483870967743, 11.399193548387096, 16.837096774193547, 13.504032258064516, 10.713709677419354, 10.714516129032258, 16.37741935483871, 13.808870967741935, 11.374193548387098]","[0.40914566671083397, 0.3784063363974125, 0.2916959748660848, 0.3999413380789526, 0.43364157379271817, 0.3767255756775244, 0.4067357756250246, 0.39300994374724285, 0.2943470221031256, 0.3248996163419604, 0.38518355115055314, 0.3929591367730455, 0.34275666555113127, 0.36839927822085694, 0.3831559631783964]","[72, 109, 109, 159, 156, 241, 230, 102, 88, 162, 73, 157, 118, 467, 271]",168.0,12.627634408602152,11.530930827393494,13.72433798981081,0.3720668945476575,0.34915041534739377,0.39498337374792125
"{'colsample_bytree': 0.8, 'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 3, 'reg_lambda': 1, 'subsample': 0.8}","[10.978225806451613, 14.286290322580646, 12.425806451612903, 12.300806451612903, 11.737096774193548, 12.703225806451613, 10.610483870967743, 11.399193548387096, 16.77258064516129, 13.504032258064516, 10.713709677419354, 10.687096774193549, 16.384677419354837, 13.529032258064516, 11.39516129032258]","[0.40914566671083397, 0.3784063363974125, 0.2916959748660848, 0.3999413380789526, 0.43364157379271817, 0.35873163083424986, 0.4067357756250246, 0.39300994374724285, 0.2970509323546703, 0.3248996163419604, 0.38518355115055314, 0.39451260578928193, 0.34246539166842305, 0.38119875555878613, 0.382018842860943]","[72, 109, 109, 159, 156, 339, 230, 102, 83, 162, 73, 157, 118, 211, 182]",151.0,12.628494623655914,11.542700533916065,13.714288713395764,0.3719091957184758,0.3490533677697794,0.3947650236671722
"{'colsample_bytree': 1, 'gamma': 0.1, 'learning_rate': 0.01, 'max_depth': 6, 'reg_lambda': 3, 'subsample': 0.8}","[11.254838709677419, 14.125, 12.980645161290322, 12.174193548387096, 11.994354838709677, 11.226612903225806, 10.491935483870968, 11.846774193548388, 16.61774193548387, 13.445967741935483, 10.59758064516129, 11.195967741935483, 16.38064516129032, 13.595967741935484, 11.74758064516129]","[0.39425820352724594, 0.38542404640139305, 0.2600686923315485, 0.4061177761515681, 0.421227918580397, 0.4332721580017517, 0.4133641742708497, 0.36917694189225303, 0.30354031695837747, 0.32780240688381634, 0.39184772643352805, 0.36568204845854224, 0.34262721049214984, 0.37813720910619797, 0.3629064744483621]","[405, 1249, 792, 2464, 1170, 834, 919, 603, 521, 807, 348, 954, 540, 1648, 1123]",958.0,12.64505376344086,11.592807719219424,13.697299807662295,0.3703635535958654,0.34460830757207184,0.396118799619659
"{'colsample_bytree': 1, 'gamma': 0, 'learning_rate': 0.01, 'max_depth': 6, 'reg_lambda': 3, 'subsample': 0.8}","[11.236290322580645, 14.196774193548388, 12.956451612903226, 12.24758064516129, 11.938709677419356, 11.261290322580646, 10.583870967741936, 11.794354838709678, 16.583870967741934, 13.46532258064516, 10.584677419354838, 11.214516129032258, 16.333870967741934, 13.686290322580644, 11.712903225806452]","[0.39525648823051873, 0.38230116544962167, 0.2614477889536939, 0.4025378024916444, 0.42391300387710595, 0.43152161585636517, 0.40822378348429145, 0.3719681943617563, 0.30495986984043844, 0.32683481003653114, 0.3925881903538585, 0.3646311723593234, 0.3445043088473809, 0.37400596570029576, 0.3647870965118426]","[405, 1205, 799, 2265, 1057, 782, 919, 604, 521, 816, 348, 1060, 546, 1659, 1618]",974.0,12.653118279569894,11.605821771329179,13.700414787810608,0.3699654170903113,0.344711829506765,0.39521900467385757
"{'colsample_bytree': 1, 'gamma': 0, 'learning_rate': 0.01, 'max_depth': 3, 'reg_lambda': 3, 'subsample': 1}","[10.90725806451613, 14.705645161290322, 12.7, 12.364516129032259, 12.210483870967742, 12.224193548387097, 10.587096774193549, 11.299193548387096, 16.65967741935484, 13.71532258064516, 10.4, 10.621774193548386, 16.31774193548387, 13.696774193548388, 11.544354838709678]","[0.4129651907929207, 0.36016029038706265, 0.27606621314843605, 0.3968334488577001, 0.4107988916308607, 0.3829135386100533, 0.4080434188952894, 0.3983347946121414, 0.3017827752948735, 0.31433668409242876, 0.40318608021358926, 0.3982135172691392, 0.3451515841422882, 0.3735264463763962, 0.3739277944482944]","[1264, 2005, 1209, 2691, 1900, 2030, 2946, 1357, 1213, 3433, 1378, 1382, 1766, 4682, 2113]",2091.0,12.663602150537633,11.55645518318656,13.770749117888705,0.37041604458476496,0.34661544013606976,0.39421664903346015
